iter	Logloss
0	0.6896728516
1	0.6857893626
2	0.682929039
3	0.6798035304
4	0.6769848506
5	0.6742240906
6	0.6715152105
7	0.6683877945
8	0.665283076
9	0.6621915181
10	0.6590941747
11	0.6563410441
12	0.6534956614
13	0.6509727478
14	0.6485139847
15	0.6460528692
16	0.6436251322
17	0.6406882604
18	0.6378447215
19	0.6353209178
20	0.6323756536
21	0.6301022847
22	0.6273896535
23	0.6246973674
24	0.6220355352
25	0.6208115896
26	0.6182984034
27	0.6158286413
28	0.6134394964
29	0.6106049856
30	0.6076032003
31	0.6047033946
32	0.6027224223
33	0.5999834696
34	0.5977803548
35	0.5954395294
36	0.5929884593
37	0.5902597427
38	0.5875284195
39	0.5850985209
40	0.5829867045
41	0.5812648137
42	0.5793997447
43	0.5774262746
44	0.575650088
45	0.5738313039
46	0.5716192881
47	0.5694502513
48	0.5678314209
49	0.5661654154
50	0.5640355428
51	0.5620641073
52	0.5603522619
53	0.5588217417
54	0.5573345184
55	0.5555131276
56	0.5535431544
57	0.5520268122
58	0.5504597982
59	0.5487178802
60	0.5472143809
61	0.5452987671
62	0.5439659119
63	0.5422826131
64	0.5409664154
65	0.5395640055
66	0.538318634
67	0.5367527644
68	0.5348038991
69	0.5330393155
70	0.5318325043
71	0.5299431483
72	0.5287319501
73	0.5267871221
74	0.5251787186
75	0.5234261513
76	0.5222929001
77	0.5206591924
78	0.5192386627
79	0.5178197861
80	0.5164438248
81	0.5150079727
82	0.5136185964
83	0.5124733607
84	0.5111111005
85	0.5097655932
86	0.5087580045
87	0.5077690125
88	0.5063115756
89	0.5048558553
90	0.5033946991
91	0.5024729093
92	0.501222229
93	0.5003244082
94	0.4989964803
95	0.498118337
96	0.4968284289
97	0.4958637555
98	0.4945459366
99	0.4930203438
100	0.4925343196
101	0.4917173386
102	0.4904892286
103	0.4891305923
104	0.4881166458
105	0.4869938533
106	0.4859059652
107	0.4850989024
108	0.4838878949
109	0.4826819738
110	0.4819238027
111	0.480984815
112	0.4799133937
113	0.479112943
114	0.4779542287
115	0.4772381465
116	0.4757960637
117	0.4751200994
118	0.4740455945
119	0.472666804
120	0.4718593597
121	0.4709334691
122	0.4699572881
123	0.4692501068
124	0.4682559967
125	0.4673224767
126	0.4661945343
127	0.465590318
128	0.4645633062
129	0.4636671384
130	0.4628500938
131	0.4622868856
132	0.4613521576
133	0.460711956
134	0.4601199786
135	0.4592358907
136	0.4582582156
137	0.4573386192
138	0.456078275
139	0.4553719838
140	0.4545696259
