iter	Passed	Remaining
0	12	12281
1	16	8382
2	20	6678
3	23	5857
4	25	5090
5	28	4800
6	32	4542
7	34	4297
8	37	4156
9	41	4119
10	45	4046
11	49	4077
12	52	3965
13	54	3812
14	57	3769
15	59	3637
16	60	3508
17	65	3560
18	68	3545
19	71	3507
20	74	3491
21	76	3402
22	81	3448
23	84	3442
24	87	3424
25	89	3368
26	92	3336
27	96	3363
28	100	3350
29	103	3338
30	107	3370
31	113	3426
32	117	3452
33	122	3476
34	127	3502
35	134	3588
36	137	3567
37	140	3568
38	144	3572
39	147	3548
40	151	3538
41	153	3498
42	156	3492
43	161	3516
44	164	3486
45	167	3473
46	172	3489
47	175	3482
48	177	3454
49	180	3437
50	183	3423
51	187	3419
52	192	3433
53	194	3402
54	197	3387
55	201	3397
56	204	3386
57	207	3371
58	210	3357
59	212	3336
60	215	3311
61	217	3297
62	219	3270
63	223	3273
64	225	3248
65	228	3233
66	230	3207
67	232	3187
68	235	3180
69	239	3183
70	241	3157
71	245	3161
72	248	3154
73	251	3143
74	256	3165
75	260	3161
76	262	3143
77	266	3151
78	270	3158
79	273	3145
80	276	3136
81	279	3132
82	283	3135
83	287	3136
84	290	3131
85	293	3122
86	295	3105
87	297	3088
88	302	3095
89	307	3104
90	310	3098
91	312	3079
92	315	3073
93	317	3061
94	321	3060
95	326	3076
96	331	3085
97	336	3098
98	340	3101
99	346	3121
100	352	3138
101	354	3121
102	359	3131
103	364	3143
104	369	3146
105	374	3154
106	378	3157
107	382	3162
108	388	3174
109	392	3174
110	395	3166
111	400	3173
112	404	3172
113	409	3183
114	413	3180
115	415	3163
116	419	3164
117	422	3155
118	425	3151
119	429	3149
120	432	3141
121	438	3153
122	444	3170
123	447	3158
124	450	3155
125	452	3142
126	455	3130
127	457	3115
128	461	3113
129	464	3109
130	467	3102
131	469	3089
132	472	3079
133	475	3074
134	477	3059
135	481	3057
136	486	3062
137	489	3058
138	493	3055
139	497	3054
140	500	3048
141	503	3041
142	508	3047
143	512	3044
144	517	3049
145	520	3042
146	523	3036
147	526	3030
148	529	3021
149	531	3009
150	532	2996
151	535	2988
152	539	2985
153	542	2980
154	545	2972
155	550	2975
156	553	2972
157	556	2963
158	558	2956
159	561	2947
160	563	2938
161	566	2929
162	568	2920
163	572	2918
164	575	2911
165	578	2904
166	580	2896
167	583	2887
168	586	2883
169	589	2877
170	591	2869
171	594	2863
172	597	2855
173	601	2853
174	605	2853
175	608	2847
176	610	2836
177	612	2830
178	615	2823
179	618	2818
180	620	2809
181	623	2801
182	625	2794
183	628	2787
184	631	2783
185	635	2780
186	638	2775
187	641	2769
188	643	2762
189	647	2758
190	649	2749
191	654	2752
192	657	2748
193	660	2742
194	662	2735
195	665	2729
196	668	2723
197	671	2721
198	677	2725
199	681	2725
200	688	2737
201	692	2737
202	695	2731
203	700	2731
204	703	2726
205	706	2722
206	708	2715
207	711	2710
208	716	2710
209	719	2706
210	721	2697
211	724	2692
212	727	2688
213	732	2689
214	734	2683
215	739	2682
216	743	2682
217	748	2685
218	753	2686
219	757	2686
220	764	2695
221	770	2700
222	774	2699
223	779	2699
224	783	2697
225	786	2691
226	789	2690
227	793	2687
228	796	2683
229	799	2678
230	803	2674
231	805	2667
232	808	2661
233	812	2658
234	814	2651
235	816	2644
236	819	2637
237	821	2631
238	824	2626
239	828	2623
240	831	2617
241	833	2611
242	836	2604
